"word","part_of_speech"
"Borlaug","M"
"Born","M"
"Borneo","M"
"Borobudur","M"
"Borodin","M"
"Boru","M"
"Bosch","M"
"Bose","M"
"Bosnia","M"
"Bosnian",NA
"Bosporus","M"
"Boston","MS"
"Bostonian","M"
"Boswell","M"
"Botha",NA
"Botox",NA
"Botswana","M"
"Botticelli","M"
"Boulder","M"
"Boulez","M"
"Bourbaki","M"
"Bourbon","SM"
"Bournemouth","M"
"Bovary","M"
"Bowditch","M"
"Bowell","M"
"Bowen","M"
"Bowers","M"
"Bowery","M"
"Bowie","M"
"Bowman","M"
"Boyd","M"
"Boyer","M"
"Boyle","M"
"Br","MT"
"Brad","MY"
"Bradbury","M"
"Braddock","M"
"Bradenton","M"
"Bradford","M"
"Bradley","M"
"Bradly","M"
"Bradshaw","M"
"Bradstreet","M"
"Brady","M"
"Bragg","M"
"Brahe","M"
"Brahma","MS"
"Brahmagupta","M"
"Brahman","MS"
"Brahmani",NA
"Brahmanism","SM"
"Brahmaputra","M"
"Brahms","M"
"Braille","MS"
"Brain","M"
"Brampton","M"
"Bran","M"
"Branch","M"
"Brandeis","M"
"Branden","M"
"Brandenburg","M"
"Brandi","M"
"Brandie","M"
"Brando","M"
"Brandon","M"
"Brandt","M"
"Brandy","M"
"Brant","M"
"Braque","M"
"Brasilia","M"
"Bratislava","M"
"Brattain","M"
"Bray","M"
"Brazil","M"
"Brazilian","MS"
"Brazos","M"
"Brazzaville","M"
"Breakspear","M"
"Breathalyzer",NA
"Brecht","M"
"Breckenridge","M"
"Bremen","M"
"Bremerton","M"
"Brenda","M"
"Brendan","M"
"Brennan","M"
"Brenner","M"
"Brent","M"
"Brenton","M"
"Brest","M"
"Bret","M"
"Breton","M"
"Brett","M"
"Brewer","M"
"Brewster","M"
"Brexit",NA
"Brezhnev","M"
"Brian","M"
"Briana","M"
"Brianna","M"
"Brice","M"
"Bridalveil","M"
"Bridgeport","M"
"Bridger","M"
"Bridges","M"
"Bridget","M"
"Bridgetown","M"
"Bridgett","M"
"Bridgette","M"
"Bridgman","M"
"Brie","SM"
"Brigadoon","M"
"Briggs","M"
"Brigham","M"
"Bright","M"
"Brighton","M"
"Brigid","M"
"Brigitte","M"
"Brillo","M"
"Brillouin",NA
"Brinkley","M"
"Brisbane","M"
"Bristol","M"
"Brit","SM"
"Britain","M"
"Britannia","M"
"Britannic","M"
"Britannica","M"
"Briticism","SM"
"British","MRZ"
"Britisher","M"
"Britney","M"
"Briton","MS"
"Britt","MN"
"Brittany","SM"
"Britten","M"
"Brittney","M"
"Brno","M"
"Broadway","SM"
"Brobdingnag","M"
"Brobdingnagian","M"
"Brock","M"
"Brokaw","M"
"Bronson","M"
"Bronte","M"
"Brontosaurus",NA
"Bronx","M"
"Brooke","MS"
"Brooklyn","M"
"Brooks","M"
"Bros",NA
"Brown","MG"
"Browne","M"
"Brownian","M"
"Brownie","S"
"Browning","M"
"Brownshirt","M"
"Brownsville","M"
"Brubeck","M"
"Bruce","M"
"Bruckner","M"
"Bruegel",NA
"Brummel","M"
"Brunei","M"
